date,type,count,score
2025-06-28,深蹲,10,82
2025-06-28,俯卧撑,40,83
2025-06-28,仰卧起坐,10,84
2025-06-28,仰卧起坐,15,82
2025-06-28,仰卧起坐,33,81
2025-06-28,仰卧起坐,45,89
2025-06-29,仰卧起坐,95,81
2025-06-29,俯卧撑,30,81
2025-06-29,俯卧撑,15,87
2025-06-29,深蹲,15,81
2025-06-30,深蹲,75,79
2025-06-30,俯卧撑,19,79
2025-06-30,深蹲,55,86
2025-06-30,深蹲,80,88
2025-06-30,俯卧撑,95,79
2025-06-30,深蹲,25,85
2025-06-30,仰卧起坐,30,81
2025-07-01,俯卧撑,15,78
2025-07-01,深蹲,35,84
2025-07-01,仰卧起坐,35,91
2025-07-01,深蹲,15,83
2025-07-02,仰卧起坐,45,78
2025-07-02,仰卧起坐,93,84
2025-07-02,俯卧撑,30,90
2025-07-02,深蹲,15,85
2025-07-02,仰卧起坐,70,86
2025-07-02,仰卧起坐,45,79
2025-07-02,深蹲,25,82
2025-07-03,仰卧起坐,25,89
2025-07-03,仰卧起坐,40,85
2025-07-03,仰卧起坐,30,83
2025-07-03,俯卧撑,40,88
2025-07-03,深蹲,10,83
2025-07-03,深蹲,30,85
2025-07-04,仰卧起坐,30,88
2025-07-04,深蹲,20,83
2025-07-04,仰卧起坐,10,91
2025-07-04,俯卧撑,35,82
2025-07-04,俯卧撑,43,81
2025-07-05,深蹲,20,91
2025-07-05,深蹲,15,84
2025-07-05,深蹲,40,88
2025-07-05,仰卧起坐,50,84
2025-07-06,深蹲,15,78
2025-07-06,俯卧撑,23,89
2025-07-06,俯卧撑,25,91
2025-07-06,仰卧起坐,20,86
2025-07-06,深蹲,35,91
2025-07-06,俯卧撑,14,81
2025-07-06,仰卧起坐,45,80
2025-07-07,仰卧起坐,48,87
2025-07-07,仰卧起坐,22,89
2025-07-07,仰卧起坐,49,84
2025-07-07,深蹲,40,91
2025-07-07,仰卧起坐,40,82
2025-07-07,仰卧起坐,94,89
